rank	city	population_2011	population_2001	state_or_ut
98	Belgaum	488292	399653	Karnataka
99	Kurnool	484327	345987	Andhra Pradesh
100	Ambattur	478134	310967	Tamil Nadu
101	Rajahmundry	476873	315251	Andhra Pradesh
102	Tirunelveli	473637	411831	Tamil Nadu
103	Malegaon	471006	409403	Maharashtra
104	Gaya	463454	385432	Bihar
105	Udaipur	451735	389438	Rajasthan
106	Karur	444506	158955	Tamil Nadu
107	Kakinada	443028	325985	Andhra Pradesh
108	Davanagere	435128	364523	Karnataka
109	Kozhikode	432097	436556	Kerala
110	Maheshtala	429423	385266	West Bengal
111	Rajpur Sonarpur	423806	336707	West Bengal
112	Bokaro	413934	393805	Jharkhand
113	South Dumdum	410524	392444	West Bengal
114	Bellary	409644	316766	Karnataka
115	Patiala	405164	303151	Punjab
116	Gopalpur	404991	271811	West Bengal
117	Agartala	399688	271811	Tripura
118	Bhagalpur	398138	340767	Bihar
119	Muzaffarnagar	392451	316729	Uttar Pradesh
120	Bhatpara	390467	442385	West Bengal
121	Panihati	383522	348438	West Bengal
122	Latur	382754	299985	Maharashtra
123	Dhule	376093	341755	Maharashtra
124	Rohtak	373133	286807	Haryana
125	Sagar	370296	232133	Madhya Pradesh
126	Korba	363210	315690	Chhattisgarh
127	Bhilwara	360009	280128	Rajasthan
128	Berhampur	355823	307792	Odisha
129	Muzaffarpur	351838	305525	Bihar
130	Ahmednagar	350905	307615	Maharashtra
131	Mathura	349336	302770	Uttar Pradesh
132	Kollam	349033	361560	Kerala
133	Avadi	344701	229403	Tamil Nadu
134	Kadapa	344893	125725	Andhra Pradesh
135	Anantapuram	340613	255134	Andhra Pradesh
136	Kamarhati	336579	314507	West Bengal
137	Bilaspur	335761	296662	Chhattisgarh
138	Sambalpur	330106	274917	Odisha
139	Shahjahanpur	327975	296662	Uttar Pradesh
140	Satara	326789	228175	Maharashtra
141	Bijapur	326360	228175	Karnataka
142	Rampur	325248	281494	Uttar Pradesh
143	Shimoga	322428	274352	Karnataka
144	Chandrapur	321036	289450	Maharashtra
145	Junagadh	320250	168686	Gujarat
146	Thrissur	315596	317526	Kerala
147	Alwar	315310	260593	Rajasthan
148	Bardhaman	314638	285602	West Bengal
149	Kulti	313977	289903	West Bengal
150	Nizamabad	310467	288722	Telangana
151	Parbhani	307191	259329	Maharashtra
152	Tumkur	305821	248929	Karnataka
153	Khammam	305000	218689	Telangana
154	Uzhavarkarai	300028	217707	Puducherry
155	Bihar Sharif	296889	232071	Bihar
156	Panipat	294150	261740	Haryana
157	Darbhanga	294116	267348	Bihar
158	Bally	291972	260906	West Bengal
159	Aizawl	291822	228280	Mizoram
160	Dewas	289438	231672	Madhya Pradesh
161	Ichalkaranji	287570	257610	Maharashtra
162	Karnal	286974	210476	Haryana
163	Bathinda	285813	217256	Punjab
164	Jalna	285349	235795	Maharashtra
165	Eluru	283648	190347	Andhra Pradesh
166	Barasat	283443	231515	West Bengal
167	Kirari Suleman Nagar	282598	153874	Delhi
168	Purnia	280547	171687	Bihar
169	Satna	280248	225464	Madhya Pradesh
170	Mau	279060	212657	Uttar Pradesh
171	Sonipat	277053	214974	Haryana
172	Farrukhabad	275750	228333	Uttar Pradesh
173	Durg	268679	232517	Chhattisgarh
174	Imphal	264986	221492	Manipur
175	Ratlam	264810	222202	Madhya Pradesh
176	Hapur	262801	211983	Uttar Pradesh
177	Arrah	261099	203380	Bihar
178	Anantapur	261004	218808	Andhra Pradesh
179	Karimnagar	260899	205653	Telangana
180	Etawah	256838	210453	Uttar Pradesh
181	Ambarnath	254003	203795	Maharashtra
182	North Dumdum	253625	220042	West Bengal
183	Bharatpur	252109	204587	Rajasthan
184	Begusarai	251136	93378	Bihar
185	New Delhi	249998	302147	Delhi
186	Gandhidham	248705	166388	Gujarat
187	Baranagar	248466	250768	West Bengal
188	Tiruvottiyur	248059	212281	Tamil Nadu
189	Pondicherry	241773	220749	Puducherry
190	Sikar	237579	184904	Rajasthan
191	Thoothukudi	237374	216058	Tamil Nadu
192	Rewa	235422	183274	Madhya Pradesh
193	Mirzapur	233691	205053	Uttar Pradesh
194	Raichur	232456	207421	Karnataka
195	Pali	229956	187641	Rajasthan
196	Ramagundam	229644	236600	Telangana
197	Silchar	229136	184105	Assam
198	Haridwar	228832	175010	Uttarakhand
199	Vijayanagaram	228025	174324	Andhra Pradesh
200	Tenali	225982	184937	Andhra Pradesh
201	Nagercoil	224849	208179	Tamil Nadu
202	Sri Ganganagar	224773	210713	Rajasthan
203	Karawal Nagar	224666	148549	Delhi
204	Mango	223805	166125	Jharkhand
205	Thanjavur	222943	215314	Tamil Nadu
206	Bulandshahr	222519	176425	Uttar Pradesh
207	Uluberia	222240	202135	West Bengal
208	Katni	221883	187029	Madhya Pradesh
209	Sambhal	220813	182478	Uttar Pradesh
210	Singrauli	220257	185190	Madhya Pradesh
211	Nadiad	218095	192913	Gujarat
212	Secunderabad	217910	206102	Telangana
213	Naihati	217900	215303	West Bengal
214	Yamunanagar	216677	189696	Haryana
215	Bidhannagar	215514	164221	West Bengal
216	Pallavaram	215417	144623	Tamil Nadu
217	Bidar	214373	172877	Karnataka
218	Munger	213303	188050	Bihar
219	Panchkula	211355	140925	Haryana
220	Burhanpur	210886	193725	Madhya Pradesh
221	Kharagpur	207604	188761	West Bengal
222	Dindigul	207327	196955	Tamil Nadu
223	Gandhinagar	206167	195985	Gujarat
224	Hospet	206167	164240	Karnataka
225	Nangloi Jat	205596	150948	Delhi
226	Malda	205521	161456	West Bengal
227	Ongole	204746	150471	Andhra Pradesh
228	Deoghar	203123	112525	Jharkhand
229	Chhapra	202352	79190	Bihar
230	Puri	201026	152682	Odisha
231	Haldia	200827	170673	West Bengal
232	Khandwa	200738	172242	Madhya Pradesh
233	Nandyal	200516	152676	Andhra Pradesh
234	Morena	200482	150959	Madhya Pradesh
235	Amroha	198471	165129	Uttar Pradesh
236	Anand	198282	130685	Gujarat
237	Bhind	197585	153752	Madhya Pradesh
238	Bhalswa Jahangir Pur	197148	152339	Delhi
239	Madhyamgram	196127	155451	West Bengal
240	Bhiwani	196057	169531	Haryana
241	Berhampore	195223	160143	West Bengal
242	Ambala	195153	139279	Haryana
243	Morbi	194947	145719	Gujarat
244	Fatehpur	193193	151757	Uttar Pradesh
245	Raebareli	191316	169333	Uttar Pradesh
246	Khora Ghaziabad	190400	―	Uttar Pradesh
247	Chittoor	189332	152654	Andhra Pradesh
248	Bhusawal	187421	172372	Maharashtra
249	Orai	187137	139318	Uttar Pradesh
250	Bahraich	186223	168323	Uttar Pradesh
251	Phusro	186139	83463	Jharkhand
252	Vellore	185803	177230	Tamil Nadu
253	Mehsana	184991	141453	Gujarat
254	Raiganj	183612	165212	West Bengal
255	Sirsa	182534	160735	Haryana
256	Danapur	182429	131176	Bihar
257	Serampore	181842	197857	West Bengal
258	Sultan Pur Majra	181554	164426	Delhi
259	Guna	180935	137175	Madhya Pradesh
260	Jaunpur	180362	160055	Uttar Pradesh
261	Panvel	180020	104058	Maharashtra
262	Shivpuri	179977	146892	Madhya Pradesh
263	Surendranagar Dudhrej	177851	156161	Gujarat
264	Unnao	177658	144662	Uttar Pradesh
265	Chinsurah	177259	170201	West Bengal
266	Alappuzha	174164	177029	Kerala
267	Kottayam	172878	129894	Kerala
268	Machilipatnam	169892	179353	Andhra Pradesh
269	Shimla	169578	142555	Himachal Pradesh
270	Midnapore	169127	149768	West Bengal
271	Adoni	166537	―	Andhra Pradesh
272	Udupi	165401	―	Karnataka
273	Katihar	164937	115169	Bihar
274	Proddatur	163600	86896	Andhra Pradesh
275	Budaun	159221	148029	Uttar Pradesh
276	Mahbubnagar	158000	–	Telangana
277	Saharsa	155175	125167	Bihar
278	Dibrugarh	154296	137661	Assam
279	Jorhat	153889	112026	Assam
280	Hazaribagh	153599	127243	Jharkhand
281	Hindupur	151835	―	Andhra Pradesh
282	Nagaon	148496	123265	Assam
283	Hajipur	147688	119412	Bihar
284	Sasaram	147396	131172	Bihar
285	Giridih	143529	―	Jharkhand
286	Bhimavaram	142280	―	Andhra Pradesh
287	Port Blair	140572	—	Andaman and Nicobar Islands UT
288	Kumbakonam	140056	144021	Tamil Nadu
289	Bongaigaon	139650	101213	Assam
290	Dehri	137068	119057	Bihar
291	Madanapalle	135669	―	Andhra Pradesh
292	Siwan	134458	109919	Bihar
293	Bettiah	132896	116670	Bihar
294	Ramgarh	132441	73455	Jharkhand
295	Tinsukia	126389	101957	Assam
296	Guntakal	126270	―	Andhra Pradesh
297	Srikakulam	125939	―	Andhra Pradesh
298	Motihari	125183	100683	Bihar
299	Dharmavaram	121874	―	Andhra Pradesh
300	Medininagar	120325	―	Jharkhand
301	Gudivada	118167	―	Andhra Pradesh
302	Phagwara	117966	―	Punjab
303	Pudukkottai	117745	―	Tamil Nadu
304	Hosur	116821	102000	Tamil Nadu
305	Narasaraopet	116250	―	Andhra Pradesh
306	Suryapet	115250	94585	Telangana
307	Miryalaguda	109891	91395	Telangana
308	Anantnag	108505	―	Jammu and Kashmir
309	Tadipatri	108171	―	Andhra Pradesh
310	Karaikudi	106714	86596	Tamil Nadu
311	Kishanganj	105782	85590	Bihar
312	Gangavathi	105529	85459	Karnataka
313	Jamalpur	105221	96983	Bihar
314	Ballia	104271	―	Uttar Pradesh
315	Kavali	104000	―	Andhra Pradesh
316	Tadepalligudem	103906	―	Andhra Pradesh
317	Amaravati	103000	―	Andhra Pradesh
318	Buxar	102591	83168	Bihar
319	Tezpur	102505	83028	Assam
320	Jehanabad	102456	81503	Bihar
321	Aurangabad	101520	79393	Bihar
322	Gangtok	100286	29354	Sikkim
323	Vasco Da Gama	100000	―	Goa
